time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot.1,Plot.2,Plot.3,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI.1,RSI-based MA.1,Upper Bollinger Band.1,Lower Bollinger Band.1,Histogram,MACD,Signal,datetime,year,month,day,hour
1649415600,353.83298001,353.83298001,353.66631351,353.66631351,,,,,,353.15037522689363,357.2593633329902,352.9639840258976,337.4395473845685,1440,168672.75,55.17149708182046,46.53945915567242,,,48.7730234900215,42.66262453274757,,,1.1870166810342702,-2.508971423555465,-3.695988104589736,2022-04-08 19:00:00,2022,4,8,19
1649419200,352.18298166,352.18298166,349.92298392,349.92298392,,,,,,352.8430046262371,356.9716621795396,352.9037662020184,337.56376068342854,696,155125.65,44.898064709417824,47.39320390559264,,,44.41457122352767,43.468942417901175,,,0.9725116115053464,-2.4803485902080524,-3.4528602017133987,2022-04-08 20:00:00,2022,4,8,20
1649422800,349.59631758,349.76631741,343.43632373,343.77299006,,,,,,351.9791937151669,356.4540671944596,352.7229587536616,337.62554406030984,204798,147698.25,33.08835186669802,47.47435827869786,,,38.35097440648962,43.87900175166727,,,0.4260841506319077,-2.920255013423514,-3.3463391640554216,2022-04-08 21:00:00,2022,4,8,21
1649426400,343.7996567,345.56965493,340.84965964,345.19632197,,,,,,351.33320592991294,356.01258698957884,352.57391644111385,337.7008751837893,276399,151822.35,37.52539383619737,46.276149255659554,,,40.379663311159085,43.52380033933122,,,0.1825996217008421,-3.118089636929369,-3.3006892586302112,2022-04-08 22:00:00,2022,4,8,22
1649430000,345.15632201,347.3329865,343.77632339,344.499656,,,,,,350.6823916508736,355.56109949979145,352.41403009574526,337.7685247441496,178242,151374.9,36.15627638050737,45.56444613016004,,,39.69119102490579,43.39847778425868,,,0.0060482214030885,-3.2931289818763503,-3.299177203279439,2022-04-08 23:00:00,2022,4,8,23
1649433600,344.9996555,347.9996525,344.24298959,347.8996526,,,,,,350.41736888412373,355.2606506017604,352.3246364819681,337.8693319864964,141165,145443.9,47.13777398394838,44.839531351251935,,,44.651075120209896,43.12028128126463,,,0.1421299751101266,-3.1215147343917806,-3.263644709501907,2022-04-09 00:00:00,2022,4,9,0
1649437200,347.2329866,347.2329866,343.0996574,344.15965634,,,,,,349.8213962608739,354.82531749345605,352.16295370687965,337.93192227857105,158013,139879.95,38.61406907195952,44.45764406053065,,,40.68715022718709,43.04678147357648,,,0.011048895679758,-3.249833589902209,-3.260882485581968,2022-04-09 01:00:00,2022,4,9,1
1649440800,343.9996565,345.61632155,343.23965726,345.14965535,,,,,,349.3764685550764,354.44587976234016,352.0240765116939,338.00374051808774,142593,133677.45,41.86074669822428,44.98310911326229,,,42.15113518185055,43.47324699529453,,,0.0212188803597039,-3.234358885132337,-3.255577765492041,2022-04-09 02:00:00,2022,4,9,2
1649444400,344.96965553,345.79632137,341.66632549,341.74632541,,,,,,348.6497882555453,353.9478580230327,351.820556687898,338.04098016875355,248244,146074.65,34.53508394480909,45.15394667452534,,,38.62193845675147,43.75137327949775,,,-0.1610311839578062,-3.4568667454392994,-3.295835561481493,2022-04-09 03:00:00,2022,4,9,3
1649448000,341.89632526,342.3329915,341.40965908,341.57299225,,,,,,347.9758076835886,353.4625691691883,351.6176346198208,338.0761245675719,4821,146285.7,34.17967182859616,44.253184959179954,,,38.445386268514135,43.41201277361243,,,-0.2478346863859908,-3.6056289194639817,-3.357794233077991,2022-04-09 04:00:00,2022,4,9,4
1649451600,341.60299222,341.60299222,341.59965889,341.59965889,,,,,,347.36855541753255,352.997357001377,351.4192588627946,338.1111846105812,900,146237.4,34.301028516988154,42.82893640070194,,,38.49197084756815,42.73983586314992,,,-0.2569353645137582,-3.6789634387201886,-3.4220280742064304,2022-04-09 05:00:00,2022,4,9,5
1649674800,329.99967048,329.99967048,327.33300647,327.469673,,,,,,345.47342375871995,351.9962713542642,350.9450096377888,338.0052989229137,2493,132585.3,16.030109703408385,40.20975102344792,,,26.882557728276534,41.29223140366043,,,-1.1197152294128898,-4.821672110972543,-3.701956881559653,2022-04-11 19:00:00,2022,4,11,19
1649678400,327.66633947,327.90967256,324.99967547,324.99967547,,,,,,343.52354296931804,350.9375813195872,350.4312406443672,337.8758897343276,5556,120804.45,14.459370080870984,37.485474107181965,,,25.438227694852927,39.7447099068084,,,-1.7256710490926936,-5.85904569292552,-4.133374643832826,2022-04-11 20:00:00,2022,4,11,20
1649682000,326.8363403,333.49966698,326.32634081,331.00300281,,,,,,342.3311105731925,350.1558331427406,350.0465230634887,337.8075027997571,227748,122295.45,33.05892936934177,35.78688336234199,,,34.631025645244705,38.68642075903996,,,-1.5942083760157493,-6.126135113852513,-4.531926737836764,2022-04-11 21:00:00,2022,4,11,21
1649685600,330.96633618,335.99966449,328.60633854,328.60633854,,,,,,341.0239894271742,349.3107549230253,349.6219649541127,337.7159489265257,180333,123444.45,30.018841706190955,33.99026512122559,,,32.8877520882988,37.55175851605977,,,-1.5398718856775924,-6.456766594933754,-4.9168947092561615,2022-04-11 22:00:00,2022,4,11,22
1649689200,329.39300442,330.72633642,328.09967237,328.60633854,,,,,,339.8413560093481,348.49881702565176,349.20581393601145,337.6253060371075,105684,118706.85,30.018841706190955,32.92746347813796,,,32.8877520882988,36.72841429211485,,,-1.38026580692976,-6.642226967918361,-5.2619611609886014,2022-04-11 23:00:00,2022,4,11,23
1649692800,328.19633895,329.9463372,327.46300634,328.3796721,,,,,,338.7497670656007,347.709830950136,348.7934150877736,337.53330967952434,124875,114429.45,29.667642152020747,32.68312706994672,,,32.70716260817274,36.32528487794936,,,-1.1743650216557082,-6.729917438058237,-5.555552416402529,2022-04-12 00:00:00,2022,4,12,0
1649696400,328.40300541,331.15966932,328.40300541,329.2130046,,,,,,337.8415039736387,346.98446521091495,348.4056841870256,337.45052057425545,79308,104244.15,33.02833636475721,32.36190867912956,,,34.13902793760404,35.87952520840971,,,-0.8799179991735331,-6.655449915369445,-5.775531916195912,2022-04-12 01:00:00,2022,4,12,1
