time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Histogram,MACD,Signal
1649415600,353.83298001,353.83298001,353.66631351,353.66631351,NaN,NaN,NaN,NaN,NaN,353.15037522689363,357.2593633329902,352.96398402589756,337.4395473845685,1440,168672.75,55.17149708182046,46.53945915567242,NaN,NaN,48.7730234900215,42.662624532747564,NaN,NaN,1.1870166810342702,-2.508971423555465,-3.6959881045897354
1649419200,352.18298166,352.18298166,349.92298392,349.92298392,NaN,NaN,NaN,NaN,NaN,352.8430046262371,356.9716621795396,352.9037662020184,337.56376068342854,696,155125.65,44.898064709417824,47.393203905592635,NaN,NaN,44.414571223527666,43.468942417901175,NaN,NaN,0.9725116115053463,-2.4803485902080524,-3.4528602017133987
1649422800,349.59631758,349.76631741,343.43632373,343.77299006,NaN,NaN,NaN,NaN,NaN,351.9791937151669,356.4540671944596,352.7229587536616,337.62554406030984,204798,147698.25,33.08835186669802,47.47435827869786,NaN,NaN,38.35097440648962,43.87900175166727,NaN,NaN,0.42608415063190774,-2.920255013423514,-3.3463391640554216
1649426400,343.7996567,345.56965493,340.84965964,345.19632197,NaN,NaN,NaN,NaN,NaN,351.33320592991294,356.01258698957884,352.57391644111385,337.7008751837893,276399,151822.35,37.52539383619737,46.276149255659554,NaN,NaN,40.379663311159085,43.52380033933122,NaN,NaN,0.1825996217008421,-3.118089636929369,-3.3006892586302112
1649430000,345.15632201,347.3329865,343.77632339,344.499656,NaN,NaN,NaN,NaN,NaN,350.6823916508736,355.56109949979145,352.41403009574526,337.7685247441496,178242,151374.9,36.15627638050737,45.56444613016004,NaN,NaN,39.69119102490579,43.39847778425868,NaN,NaN,0.006048221403088583,-3.2931289818763503,-3.299177203279439
1649433600,344.9996555,347.9996525,344.24298959,347.8996526,NaN,NaN,NaN,NaN,NaN,350.41736888412373,355.2606506017604,352.3246364819681,337.8693319864964,141165,145443.9,47.13777398394838,44.839531351251935,NaN,NaN,44.651075120209896,43.12028128126463,NaN,NaN,0.1421299751101266,-3.1215147343917806,-3.263644709501907
1649437200,347.2329866,347.2329866,343.0996574,344.15965634,NaN,NaN,NaN,NaN,NaN,349.8213962608739,354.82531749345605,352.16295370687965,337.93192227857105,158013,139879.95,38.61406907195952,44.45764406053065,NaN,NaN,40.68715022718709,43.04678147357648,NaN,NaN,0.011048895679758086,-3.2498335899022095,-3.2608824855819676
1649440800,343.9996565,345.61632155,343.23965726,345.14965535,NaN,NaN,NaN,NaN,NaN,349.37646855507637,354.44587976234016,352.0240765116939,338.00374051808774,142593,133677.45,41.86074669822428,44.98310911326229,NaN,NaN,42.15113518185055,43.47324699529453,NaN,NaN,0.021218880359703984,-3.2343588851323375,-3.2555777654920415
1649444400,344.96965553,345.79632137,341.66632549,341.74632541,NaN,NaN,NaN,NaN,NaN,348.6497882555453,353.9478580230327,351.820556687898,338.04098016875355,248244,146074.65,34.53508394480909,45.15394667452534,NaN,NaN,38.62193845675147,43.75137327949775,NaN,NaN,-0.16103118395780625,-3.4568667454392994,-3.295835561481493
1649448000,341.89632526,342.3329915,341.40965908,341.57299225,NaN,NaN,NaN,NaN,NaN,347.9758076835886,353.4625691691883,351.61763461982076,338.0761245675719,4821,146285.7,34.179671828596156,44.253184959179954,NaN,NaN,38.445386268514135,43.41201277361243,NaN,NaN,-0.24783468638599082,-3.6056289194639817,-3.357794233077991
1649451600,341.60299222,341.60299222,341.59965889,341.59965889,NaN,NaN,NaN,NaN,NaN,347.36855541753255,352.997357001377,351.4192588627946,338.1111846105812,900,146237.4,34.301028516988154,42.82893640070194,NaN,NaN,38.49197084756815,42.739835863149914,NaN,NaN,-0.2569353645137582,-3.6789634387201886,-3.4220280742064304
