,time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot.1,Plot.2,Plot.3,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI.1,RSI-based MA.1,Upper Bollinger Band.1,Lower Bollinger Band.1,Histogram,MACD,Signal,datetime,year,month,day,hour,date
116,1647964800,38.68,38.7,38.51,38.57,,,,,,37.7995808888338,36.70823785035443,35.771693553297744,35.5117576324804,73965,146394.45,64.37597931173173,52.0748133483241,,,62.371396305509045,57.235702405593095,,,0.0122238370142017,0.5068013431737768,0.4945775061595751,2022-03-23 00:00:00,2022,4,26,20,2022-3-23
124,1648051200,38.63,38.64,38.31,38.51,,,,,,38.14389068437696,37.17953338444945,36.16493411989275,35.73631270822391,74271,106671.9,55.512761790928096,58.98651070733216,,,57.29399925185835,59.57065629967776,,,-0.0565919981024675,0.3686930844889744,0.425285082591442,2022-03-24 00:00:00,2022,4,27,4,2022-3-24
131,1648137600,38.85,38.95,38.61,38.795,,,,,,38.33641799416119,37.50044456440316,36.46770555931568,35.92159686420563,56503,98041.65,60.08846246499642,54.25789275517071,,,58.48917664557189,56.6892838978556,,,-0.0162738377090506,0.2976233019725782,0.3138971396816288,2022-03-25 00:00:00,2022,4,28,0,2022-3-25
139,1648224000,37.81,38.095,37.7,37.89,,,,,,38.34370553073066,37.74612558444333,36.755368663118674,36.11376192407252,182793,109929.4,33.33796347064964,50.81986256861968,,,44.38558700879003,53.95382520795373,,,-0.1333208223720407,0.0741947045882724,0.2075155269603132,2022-03-26 00:00:00,2022,4,29,0,2022-3-26
144,1648468800,38.67,38.67,38.49,38.59,,,,,,38.41123330224612,37.88328261188889,36.92124255272535,36.22995539878598,1374,113077.9,56.00567947807365,51.07464885685065,,,54.28043318403902,53.13694394587246,,,-0.0224594647913702,0.1008715123288581,0.1233309771202284,2022-03-28 20:00:00,2022,4,29,5,2022-3-28
148,1648483200,38.54,38.69,38.32,38.63,,,,,,38.50839390573895,38.006367867606535,37.0594688892177,36.32762237161952,103172,108024.95,52.60512764909512,50.382414962482976,,,53.25048629566309,52.31362163401053,,,-0.0036583997599013,0.124979851299372,0.1286382510592734,2022-03-29 00:00:00,2022,4,29,21,2022-3-29
156,1648569600,40.29,40.485,40.12,40.24,,,,,,39.15245591369497,38.44344706540279,37.43168172158276,36.57645095742368,96933,112379.15,83.12800515805333,66.39418680197119,,,71.69543589636717,60.56177993842124,,,0.1602561215824079,0.446872895576071,0.286616773993663,2022-03-30 00:00:00,2022,4,30,5,2022-3-30
164,1648656000,39.19,39.425,39.065,39.39,,,,,,39.59316491218153,38.878198169510256,37.819866862643366,36.84505710738745,101339,102757.15,40.11133833188374,69.02356726897952,,,49.480291264577765,64.62207345977494,,,-0.1163519614279183,0.3057669044128985,0.4221188658408169,2022-03-31 00:00:00,2022,5,3,2,2022-3-31
172,1648742400,38.8,38.835,38.65,38.69,,,,,,39.16706774439374,38.8661492844285,37.97055557010302,36.99854262504917,39868,99286.8,32.77362639360334,42.15276900404937,,,41.86273469611008,49.67115185704976,,,-0.1657142322169549,-0.1088072657362104,0.0569069664807444,2022-04-01 00:00:00,2022,5,3,21,2022-4-1
179,1648828800,39.21,39.38,39.14,39.29,,,,,,39.17959183257723,38.93891109190107,38.12520352541235,37.143948614348886,65960,94706.6,53.76192030286189,42.14406935114692,,,51.85253048540274,46.492800650287634,,,0.0278341904016709,-0.0023299854877905,-0.0301641758894614,2022-04-02 00:00:00,2022,5,4,4,2022-4-2
183,1649070000,48.9,49.73,48.0,48.15,,,,,,40.071089757936754,39.34362515193597,38.393037119998255,37.317713563619925,187475,104802.05,94.80697651612296,50.785908719959885,,,88.52483565345737,51.4484292586149,,,0.5938714203984157,0.7384136971841997,0.1445422767857839,2022-04-04 19:00:00,2022,5,4,23,2022-4-4
188,1649088000,49.22,50.78,49.16,50.61,,,,,,43.56565660313921,41.067914908569335,39.38573664450032,37.8781616587259,760990,276176.8,90.43993492699056,69.89861682955534,,,86.38283231634442,66.35176865471952,,,1.1629526893186646,2.630606366122514,1.4676536768038493,2022-04-05 00:00:00,2022,5,5,19,2022-4-5
201,1649174400,51.92,52.14,50.8,51.26,,,,,,49.26115740104039,45.197621376563845,42.09132575481906,39.49952767750532,574220,500289.95,57.49744877204732,78.73191019910323,,,68.25830414403862,79.85664122608155,,,-0.1338696328912214,2.642611529003574,2.7764811618947958,2022-04-06 00:00:00,2022,5,6,23,2022-4-6
213,1649260800,51.59,51.68,50.47,50.77,,,,,,50.45071769567152,47.40027700066196,43.98829681924661,40.798331750680106,272833,363147.55,48.414240099369856,53.30445150458001,,,55.739919630447126,63.19058497676368,,,-0.3987345194701404,1.082064299525598,1.4807988189957384,2022-04-07 00:00:00,2022,5,10,2,2022-4-7
223,1649347200,47.59,47.59,46.58,46.7,,,,,,49.82900124572294,48.16513477842473,45.04214798680171,41.65897239856545,380523,269148.95,15.98423594193929,43.656548603295214,,,32.59945626656068,52.26006851446062,,,-0.6657756101080151,-0.1877729691361835,0.4780026409718315,2022-04-08 00:00:00,2022,5,11,1,2022-4-8
233,1649433600,46.5,46.73,46.19,46.47,,,,,,48.1038025489686,47.84782371735237,45.44007948589461,42.19147716571404,152901,251767.2,24.52225907633704,29.13882544343743,,,34.804329901759615,38.86075036187144,,,-0.2808381753958786,-0.8574670510600129,-0.5766288756641342,2022-04-09 00:00:00,2022,5,12,1,2022-4-9
239,1649674800,45.42,46.26,45.0,45.0,,,,,,47.15692738845299,47.46170521124643,45.50888527103526,42.41638396928441,35014,236895.85,13.187239679386622,26.669195888761525,,,27.037923739486946,35.67635768389094,,,-0.1307814448800947,-0.9541475404163152,-0.8233660955362204,2022-04-11 19:00:00,2022,5,12,19,2022-4-11
244,1649692800,46.52,47.18,46.28,47.03,,,,,,46.87057163121604,47.2692005456477,45.59272979203951,42.60993532431512,216952,215975.35,56.36780171727354,32.01449333398144,,,49.058676304206784,37.08367325332296,,,0.1425871421102875,-0.6491531085221567,-0.7917402506324442,2022-04-12 00:00:00,2022,5,13,0,2022-4-12
